Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L Area FG2 (FusG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R Area FG2 (FusG)",0,0,0,0,0,0,0,0,0,0,1.67243367935409,0,0,0,0,0,0,0
"L TL FusG Area FG3 [PPA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL FusG Area FG3 [PPA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L Area FG4 (FusG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R Area FG4 (FusG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL PhG Area Ph1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL PhG Area Ph1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL PhG Area Ph2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL PhG Area Ph2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL PhG Area Ph3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL PhG Area Ph3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL ST Area STS1",0,0,0,0,0,0,0,0,14.5763842561708,0,0,0,0,0,0.967573221757322,0,0,0
"R TL ST Area STS1",0,0,0,0,0,0,7.49928441942563,0,0,0,0,0,0,0,0,0,0,0
"L TL ST Area STS2",0,0,0,0,0,0,0,0,5.2368245496998,0,0,0,0,0,14.2782426778243,0,0,0
"R TL ST Area STS2",0,0,0,0,0,0,1.230798587921,0,0,0,0,0,0,0,0,0,0,0
"L TL ST Area TeI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261506276150628,0,0,0
"R TL ST Area TeI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL ST Area TI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915271966527197,0,0,0
"R TL ST Area TI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL ST Area TPJ",0,0,0,0,0,0,0,0,10.2068045363576,0,0,0,0,0,0,0,0,0
"R TL ST Area TPJ",0,0,0,0,0,0,0.257609006774163,0,0,0,0,0,0,0,0,0,0,0
"L TL AUD Area TE 1.0 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL AUD Area TE 1.0 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL AUD Area TE 1.1 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL AUD Area TE 1.1 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
